sentence,vars,names,variable_position
we need to specify the gage constant in the stream function ψ,['ψ'],the stream function,['end']
Indeed the Gibbs state equation  is of the form q ,['q'],the form,['end']
combined with a usual beta eﬀect (linear  topography term h(y)),['h(y)'],beta eﬀect (linear topography term,['end']
but with an additional quadratic topography h(y).,['h(y)'],topography,['end']
are indirectly determined by the energy E,['E'],the energy,['end']
we can calculate the energy E ,['E'],the energy,['end']
the solutions  necessarily involve a stream function diﬀerence y ,['y'],a stream function diﬀerence,['end']
in the limit of small Rossby deformation radius R,['R'],small Rossby deformation radius,['end']
In the presence of a moderate topography h(y),['h(y)'],a moderate topography,['end']
They analyze the results in the frame of a 1-1/2 shallow water model (SW),['(SW)'],a 1-1/2 shallow water model,['end']
the normalized jet width l ,['l'],the normalized jet,['end']
l⋆/R⋆ can be computed from the jet equation  as shown in ﬁgure 6(a).,['6(a)'],ﬁgure,['end']
1 ≃  1 −  ≃  The shape of the jet depends on the parameter d ,['d'],the parameter,['end']
The dot line represents the critical value d ,['d'],the critical value,['end']
This layer is submitted to a total beta eﬀect or  −  Assume that PV spots with value  f0,['f0'],value,['end']
purely zonal or wavy depending on the constraint on the momentum M .,['M'],the momentum,['end']
we will treat the case of zero circulation Γ ,['Γ'],zero circulation,['end']
could not travel at the same speed as the whole body if the relation v ,['v'],the whole body,['end']
"Gonzalez-Mestres, 1997g) model was that several sectors of matter are generated at the fundamental length scale(s)",['cale(s)'],the fundamental length,['end']
We turn next to a complex interaction V 6,['V'],interaction,['end']
We turn next to a complex interaction V 6,['V'],interaction,['end']
The individual charged particles contribution is described collectively by the hydrostatic pressure p,['p'],the hydrostatic pressure,['end']
In natural units the classical action is  S ,['S'],the classical action,['end']
These conﬁgurations are local minima of the internal energy E,['E'],the internal energy,['end']
one can deﬁne a quantity  C(s) ,['C(s)'],quantity,['end']
each one will have a decay rate γ ,['γ'],a decay rate,['end']
such as quantum error correction (QEC) ,['(QEC)'],quantum error correction,['end']
each one will have a decay rate γ ,['γ'],a decay rate,['end']
For the bayesian curve a this range is k .,['k'],a this range,['end']
Now deﬁne prior probability P (t).,['P (t)'],probability,['end']
1  Using the properties of eigenvectors:    i,['i'],eigenvectors:,['end']
Instead of keeping in the sum  only Nind items which are equidistantly spaced on the grid x1,['x1'],the grid,['end']
trough the maximum pair correlations (b),['ons (b)'],the maximum pair,['end']
STATISTICAL TESTS IN FITTING PROBLEMS  A. χ2-test  Introducing the statistical function χ2,['χ2'],the statistical function,['end']
Another recombination mechanism possible for a bare  ion is three-body recombination (TBR)  I.,['(TBR)'],three-body recombination,['end']
The measured rate coeﬃcient typically shows an additional increase towards lower energies resulting in a so-called rate enhancement factor ǫ ,['ǫ'],a so-called rate enhancement factor,['end']
0 eV cannot be reached if an angle φ 6,['φ'],['cannot be reached if an angle'],['end']
1.5×10−8 cm3 s−1 one calculates a rate enhancement factor ǫ ,['ǫ'],rate enhancement factor,['end']
The major radius  is r0 ,['r0'],The major radius,['end']
We found that this is achieved in a  spherical volume of radius R ,['R'],radius,['end']
From this one can easily extract  the photoabsorption cross section σ(ω) ,['σ(ω)'],the photoabsorption cross section,['end']
an additional  numerical parameter is the imaginary part of the frequency η,['η'],the frequency,['end']
In comparing the two methods to ascertain their scaling with the size of the system N,['N'],the system,['end']
We found that this is achieved in a  spherical volume of radius R ,['R'],radius,['end']
From this one can easily extract  the photoabsorption cross section σ(ω) ,['σ(ω)'],the photoabsorption cross section,['end']
an additional  numerical parameter is the imaginary part of the frequency η,['η'],the frequency,['end']
In comparing the two methods to ascertain their scaling with the size of the system N,['N'],the system,['end']
it is possible to investigate the temperature dependence of the eﬀective volume V,['V'],the eﬀective volume,['end']
this constant is dependent on water activity (aH2O),['(aH2O)'],water activity,['end']
The solution has the following form  z(t) ,['z(t)'],the following form,['end']
we may consider only2j−1 multiresolution has the form k,['k'],the form,['end']
The action functional for loops in the phase space is  F (γ) ,['F (γ)'],the phase space,['end']
our representation for solution has now the form  f (t) ,['f (t)'],the form,['end']
the peak electric ﬁeld is E ,['E'],the peak electric ﬁeld,['end']
This result does not depend on the choice of impact pa- rameter b,['b'],impact pa- rameter,['end']
the electron emits a cone of radiation of angular width θ ,['θ'],angular width,['end']
the electron moves by formation angle θ0 ,['θ0'],formation angle,['end']
its trajectory involves transverse oscillations with laboratory wavelength λ0,['λ0'],laboratory wavelength,['end']
Experimental investigations on geomet- rical resolution of optical transition radiation (OTR),['(OTR)'],optical transition radiation,['end']
the peak electric ﬁeld is E ,['E'],the peak electric ﬁeld,['end']
This result does not depend on the choice of impact pa- rameter b,['b'],impact pa- rameter,['end']
the electron emits a cone of radiation of angular width θ ,['θ'],angular width,['end']
the electron moves by formation angle θ0 ,['θ0'],formation angle,['end']
its trajectory involves transverse oscillations with laboratory wavelength λ0,['λ0'],laboratory wavelength,['end']
Experimental investigations on geomet- rical resolution of optical transition radiation (OTR),['(OTR)'],optical transition radiation,['end']
the peak electric ﬁeld is E ,['E'],the peak electric ﬁeld,['end']
This result does not depend on the choice of impact pa- rameter b,['b'],impact pa- rameter,['end']
the electron emits a cone of radiation of angular width θ ,['θ'],angular width,['end']
the electron moves by formation angle θ0 ,['θ0'],formation angle,['end']
its trajectory involves transverse oscillations with laboratory wavelength λ0,['λ0'],laboratory wavelength,['end']
Experimental investigations on geomet- rical resolution of optical transition radiation (OTR),['(OTR)'],optical transition radiation,['end']
the peak electric ﬁeld is E ,['E'],the peak electric ﬁeld,['end']
This result does not depend on the choice of impact pa- rameter b,['b'],impact pa- rameter,['end']
the electron emits a cone of radiation of angular width θ ,['θ'],angular width,['end']
the electron moves by formation angle θ0 ,['θ0'],formation angle,['end']
its trajectory involves transverse oscillations with laboratory wavelength λ0,['λ0'],laboratory wavelength,['end']
Experimental investigations on geomet- rical resolution of optical transition radiation (OTR),['(OTR)'],optical transition radiation,['end']
the peak electric ﬁeld is E ,['E'],the peak electric ﬁeld,['end']
This result does not depend on the choice of impact pa- rameter b,['b'],impact pa- rameter,['end']
the electron emits a cone of radiation of angular width θ ,['θ'],angular width,['end']
the electron moves by formation angle θ0 ,['θ0'],formation angle,['end']
its trajectory involves transverse oscillations with laboratory wavelength λ0,['λ0'],laboratory wavelength,['end']
Experimental investigations on geomet- rical resolution of optical transition radiation (OTR),['(OTR)'],optical transition radiation,['end']
the peak electric ﬁeld is E ,['E'],the peak electric ﬁeld,['end']
This result does not depend on the choice of impact pa- rameter b,['b'],impact pa- rameter,['end']
the electron emits a cone of radiation of angular width θ ,['θ'],angular width,['end']
the electron moves by formation angle θ0 ,['θ0'],formation angle,['end']
its trajectory involves transverse oscillations with laboratory wavelength λ0,['λ0'],laboratory wavelength,['end']
Experimental investigations on geomet- rical resolution of optical transition radiation (OTR),['(OTR)'],optical transition radiation,['end']
"For the moment let us consider some simple possibilities for the scalar function A(p, r, t).","['A(p, r, t)']",the scalar function,['end']
"this simple choice for A leads to conservation of angular momentum for motion under a central arbitrary ﬁeld g(r, t).","['g(r, t)']",a central arbitrary ﬁeld,['end']
The vector ﬁrst integral of motion associated with  is  j ,['j'],motion,['end']
First notice that  can be recasted into the form  j ,['j'],the form,['end']
l  (cid:18)  r (cid:19)  2 d  dθ (cid:18)  ∧ θ we can write the above equation as  j ,['l'],2 d,['start']
"6 Laplace-Runge-Lenz type of vector constants  for arbitrary central ﬁelds  Equation  determines a time-dependent Kepler ﬁeld g (r, t) ","['g (r, t)']",a time-dependent Kepler ﬁeld,['end']
Sometimes it is convenient to perform a second change of variables by deﬁning the transformation  φ ,['φ'],the transformation,['end']
Condition  states that for electrons with any pitch-  angle interacting with fast-mode MHD waves propagating at any angle θ,['θ'],any angle,['end']
we shall ﬁnd it convenient to use the  previously introduced dimensionless kinetic energy E ,['E'],the previously introduced dimensionless kinetic energy,['end']
the electron kinetic energy  E,['E'],the electron kinetic energy,['end']
the background plasma number density N0,['N0'],the background plasma number density,['end']
as a function of energy E (eV),['E'],energy,['end']
for a ﬁxed energy  E,['E'],energy,['end']
at a given location L,['L'],location,['end']
the required  wave amplitudes ∆B are given that correspond to a timescale T0 ,['T0'],a timescale,['end']
Since we are interested in the response to a periodic stimu- lus with frequency ν ,['ν'],frequency,['end']
This represents an ampliﬁed response at the critical fre- quency with a gain  r ,['r'],a gain,['end']
